Provider_ID,Name,Category,Location,County,Ages,Minimum_Age,Status,Hours,Extended_Care,Cost,Summary,Notes,Source_URL,Registration_URL,Registration_Label,Additional_Sources,Last_Checked
jcc,Jewish for Good · Levin JCC,General day camp,"1937 W Cornwallis Rd, Durham",Durham,Kindergarten–grade 5,0,dated,8:25 am–3:15 pm,7:45–8:25 am and 3:45–5:30 pm; $20 member / $25 public. Confirm the published 3:15–3:45 handoff gap.,$75 member / $90 public per day,"Games, crafts, sports and outdoor activities. Open to the public.","Use School’s Out (K–5) registration, not the separate preschool program. Some dates have before-care only.",https://www.jewishforgood.org/schools-out-camp,https://operations.daxko.com/Online/5190/ProgramsV2/Search.mvc?keywords=school%27s+out&program_id=CMP48774&expanded=categories%2Clocations&coming_soon=False&all_categories=false&location_ids=B553&all_locations=false&date_ranges%5B0%5D.start=&date_ranges%5B0%5D.end=&birth_dates=,Check dates & register,https://www.jewishforgood.org/contact,2026-09-12
walltown,Walltown Children’s Theatre,Theater & arts,"1225 Berkeley St, Durham",Durham,Pre-K–grade 5,0,dated,8:30 am–5 pm,Drop-off from 8 am; pickup by 5:30 pm.,$75 per day,"Theater, movement, arts and games on teacher workdays.",The package offer has inconsistent day counts on the provider page; confirm any bundle price.,https://www.walltownchildrenstheatre.org/teacher-workday-camps.html,https://dancestudio-pro.com/online/walltownchildrenstheatre,Check dates & register,https://www.walltownchildrenstheatre.org/program-disciplines.html,2026-09-12
museum,Museum of Life and Science,Science & discovery,"433 W Murray Ave, Durham",Durham,Kindergarten–grade 5,0,dated,Day camps 9 am–5 pm; Rangers weeks 9 am–3 pm,Rangers weeks: morning and afternoon care sold separately; verify hours at registration.,Day: $100 member / $115 public; week: $345 / $375,Science and museum exploration during school breaks.,Registration shows a September 28 start for the first Rangers week; the informational page says September 29. The registration dates are used here.,https://www.lifeandscience.org/learn/schools-out-camps/,https://www.ultracamp.com/info/upcomingsessions.aspx?campcode=mls&idCamp=518&lang=en-Us,Check dates & register,,2026-09-12
pwc,Piedmont Wildlife Center,Nature & outdoors,"Leigh Farm Park, 364 Leigh Farm Rd, Durham",Durham,Ages 5–12,5,dated,9 am–3 pm; drop-off 8:30–9 am; pickup 2:45–3 pm,"Aftercare until 5:30 pm, additional fee.",$80 single day; $385 week,Outdoor nature exploration at Leigh Farm Park.,Only Durham sessions for ages 5–12 are included. CIT and other-county camps are separate programs.,https://www.piedmontwildlifecenter.org/schools-out-camps,https://www.ultracamp.com/info/upcomingSessions.aspx?campCode=Pwc&idCamp=1403,Check dates & register,,2026-09-12
dac,Durham Arts Council,Visual & performing arts,"120 Morris St, Durham",Durham,Ages 5–12,5,dated,9 am–3 pm; drop-off from 8 am,3–5:30 pm; $25 single day / $100 week.,$60 designated single day; $275 full week,Visual and performing arts with a different theme each break.,"Single-day booking is offered only on the designated dates. Winter registration opens October 2, 2026; spring opens December 4, 2026. Short-week prices need confirmation.",https://durhamarts.org/dac-art-camps/,https://secure.rec1.com/NC/durham-arts-council-nc/catalog,Check dates & register,,2026-09-12
dpr,Durham Parks & Recreation,Recreation & games,"W.D. Hill, Walltown Park or Edison Johnson recreation center, Durham",Durham,Ages 5–12,5,dated,7:30 am–6 pm,Included in the published day.,City resident: $23.50 with Play More card / $26 without; non-city: $37 / $41,"Fun Days offer supervised recreation, games, crafts and an afternoon snack.","Venue varies by date. Residency means City of Durham, not the entire county.",https://www.dprplaymore.org/362/Fun-Days,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=fun%20day&viewMode=list,Check dates & register,,2026-09-12
schoolhouse,Schoolhouse of Wonder,Nature & outdoors,"West Point on the Eno, EE Pavilion, 5253 N Roxboro St, Durham",Durham,Ages 5–12,5,dated,9 am–5 pm,No additional care confirmed.,$99 discovery day; $189 two days; $459 week,"Outdoor exploration, games, fort building and nature skills.",Use the Environmental Education Pavilion entrance at 5253 N Roxboro St. Only Durham sessions are included; no 2027 Durham dates were located.,https://schoolhouseofwonder.org/school-break-camps/,https://schoolhouseofwonder.org/camp-finder/,Check dates & register,,2026-09-12
boulder,The Boulder Garden,Climbing & games,"328 Roney St, Durham",Durham,Ages 5–13,5,dated,Drop-off 8–9 am; pickup 3–4 pm,4–5:30 pm; $18 extra.,$95 camper member / $115 guest per day,"Supervised bouldering, games and creative activities; gear included.",Use the registration calendar for the latest dates; the informational page contains older listings.,https://www.thebouldergarden.com/holiday-camps,https://climber.hellocapitan.com/thebouldergarden/schedule/event-type-details/3046/,Check dates & register,https://www.thebouldergarden.com/,2026-09-12
soccer,Durham Soccer Academy,Soccer,"1800 Maryland Ave or E.K. Powe, Durham; confirm venue",Durham,Elementary school ages; confirm kindergarten placement,0,dated,9 am–1 pm,No extended care listed.,$70 per day,Half-day soccer training and games for elementary children of all genders.,The provider lists elementary ages without a numeric minimum. Confirm kindergarten placement and the venue. Registration form currently lists fall 2026 dates.,https://www.durhamsocceracademy.com/teacherworkdaycamps,https://www.durhamsocceracademy.com/teacherworkdaycampregistration,Check dates & register,,2026-09-12
ninja,USA Ninja Challenge Durham,Ninja & movement,"1810 Martin Luther King Jr Pkwy, Suite A, Durham",Durham,Ages 6–12; kindergarten only if already six,6,dated,8:30 am–3:30 pm,No extended care confirmed.,$75 per day,"Obstacle courses, fitness and games.",Minimum age six. September 28 listing conflicts with a September 28–29 date range; that session is excluded from date matches until clarified.,https://usaninjachallenge.com/locations/durham-nc/camps,https://portal.iclasspro.com/usaninjadurham/camps/2?typeId=2&next=camps&nextTitle=One%20Day%20Camp&pluralTitle=One%20Day%20Camps&sortBy=time,Check dates & register,,2026-09-12
ymca,Lakewood YMCA,General day camp,"Lakewood YMCA, Durham",Durham,Kindergarten–grade 8; ages 5–14,5,announced,7:30 am–6 pm,Included in the published day.,$45 member / $56 program participant per day,Holiday Care Days are announced for 2026–27.,"Registration opens September 14, 2026. Exact camp dates were not published on the public information page at the research check.",https://ymcatriangle.org/programs/holiday-care-days,https://www.ymcatriangleregister.org/personifyebusiness/default.aspx?PC=CC&PSC=HCDAY&Related=150000000142%7C0&TabID=642&WF=CMS_MP_WORKFLOW&pId=33508010,Check dates & register,,2026-09-12
bullcity,Bull City Gymnastics,Gymnastics,"5017 Neal Rd, Durham",Durham,Holiday-camp ages unconfirmed; summer camps start at five,0,lead,Confirm school-break hours,Confirm with provider.,Not verified for 2026–27,The provider advertises holiday and track-out camps.,"No current school-break dates were confirmed. Summer ages, hours and fees should not be assumed to apply.",https://www.bullcitygymnastics.com/,https://portal.iclasspro.com/bullcitygymnastics/login,Check dates & register,https://www.bullcitygymnastics.com/camps|https://www.bullcitygymnastics.com/portal/customer-portal,2026-09-12
littlegym,The Little Gym of Durham,Movement & play,"1125 NC Highway 54, Suite 602, Durham",Durham,Super Quest ages 3–10; bathroom independent,3,lead,"Half day, generally 3–4 hours; check session",No extended care confirmed.,Check calendar,The local gym offers themed camps for younger children.,No September or October 2026 school-break sessions appeared in the public calendar at the research check.,https://www.thelittlegym.com/north-carolina-durham/camps/,https://www.thelittlegym.com/north-carolina-durham/camps/,Check camp calendar,,2026-09-12
allin,All In Dance Academy,Dance & arts,"Sutton Station near Southpoint, Durham; confirm camp studio",Durham,Teacher-workday ages unconfirmed; younger summer groups offered,0,lead,Confirm school-break hours,Confirm with provider.,Not verified for 2026–27,The provider explicitly advertises track-out and teacher-workday camps.,The visible schedule covers summer. No current teacher-workday dates were confirmed; do not use the old summer-season enrollment link.,https://allindance.com/summer-camps/,https://app.thestudiodirector.com/allindanceacademy/portal.sd?page=Register,Check enrollment portal,https://allindance.com/durham-dance-class-trial/,2026-09-12
colorfields,Color Fields Art Space,Art & outdoor play,"4528 Pope Rd, Durham",Durham,Confirm kindergarten eligibility,0,lead,Confirm with provider,Confirm with provider.,Not published,School-break camps are advertised alongside summer camps.,"No 2026–27 dates, ages or school-break fees were found on the public camp page.",https://www.colorfieldsartspace.com/summercamps-1,mailto:colorfieldsartspace@gmail.com,Ask about dates,,2026-09-12
purpose,Purpose Learning Lab,STEM & enrichment,"2315 Sparger Rd, Durham",Durham,"Historical program: kindergarten–grade 8, ages 5–14",5,lead,Historical listing: 8 am–5:30 pm; reconfirm,Confirm with provider.,Current price unverified,Historical Track Out with Purpose listings include teacher-workday care.,The booking page says unavailable and references prior school years. Contact before relying on this option.,https://www.purposelearninglab.org/service-page/track-out-with-purpose-weekly-tuition-58ho1,mailto:purposelearninglab@gmail.com,Ask about current program,,2026-09-12
notasium,Notasium Durham,Music & play,"3750 Durham-Chapel Hill Blvd, Durham",Durham,Confirm current school-break ages,0,lead,Confirm with provider,Confirm with provider.,Current price unverified,Historical school-holiday camps; current site advertises summer camps.,The MLK camp page is old and is not evidence of a January 2027 camp. No current school-break schedule was verified.,https://durham.notasium.com/mlk-day-camp/,mailto:durham@notasium.com,Ask about school-break camps,https://durham.notasium.com/,2026-09-12
msd,Montessori School of Durham,School-based care,"2800 Pickett Rd, Durham",Durham,"MSD students only, excluding toddlers; kindergarten included",0,restricted,Check the specific School’s Out session,Multiple pickup options; verify fees.,Check enrolled-family registration,School’s Out care for currently enrolled MSD families.,Enrollment restriction makes this unavailable as a general community camp. No dates are added to the public calendar overlay.,https://www.msdurham.org/programs/extended-care,https://www.msdurham.org/programs/extended-care,View enrolled-family instructions,,2026-09-12
