School_Year,Date,Day,School,Calendar_or_Scope,Closure_Type,Event,Parent_Teacher_Conference,Full_Day_No_School,Verification_Status,Data_Coverage,Notes,Source_URL,Secondary_Source_URL
2026-27,2026-09-07,Monday,Chapel Hill-Carrboro City Schools,All students,Holiday,Labor Day,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2026-09-07,Monday,Duke School,Preschool–Grade 8,Holiday,Labor Day — School Closed,No,Yes,Publicly verified,Partial public coverage — full family calendar/conference dates are in DragonConnect,"Public school-calendar/profile sources identify this as a closure. Duke School states that additional no-class days include professional development and parent/teacher conferences, but the full dates are not exposed on the public calendar.",https://www.dukeschool.org/discover/school-calendar,https://www.privateschoolreview.com/duke-school-profile
2026-27,2026-09-07,Monday,Durham Academy,All students,Holiday,Labor Day,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-09-07,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Labor Day,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-09-21,Monday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday in observance of Yom Kippur,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2026-09-21,Monday,Duke School,Preschool–Grade 8,Holiday,Yom Kippur — School Closed,No,Yes,Official,Partial public coverage — full family calendar/conference dates are in DragonConnect,"Explicitly listed on Duke School's public calendar. Duke School states that additional no-class days include professional development and parent/teacher conferences, but the full dates are not exposed on the public calendar.",https://www.dukeschool.org/discover/school-calendar,https://www.privateschoolreview.com/duke-school-profile
2026-27,2026-09-21,Monday,Durham Academy,All students,Holiday,Yom Kippur,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2026-09-21,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Teacher Workday,Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-09-21,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Holiday,Yom Kippur / school closure,No,Yes,Best-effort from school/community calendar context,Best-effort public coverage,Lerner's official public calendar is embedded; event details were not exposed in searchable text.,https://www.jewishforgood.org/lerner-calendar,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-09-30,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Required Teacher Workday,Required Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2026-10-09,Friday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2026-10-16,Friday,Durham Academy,No classes; Middle School conference day,Conference / Workday,Middle School Conferences / Faculty Work Day,Yes,Yes,Official,Complete,Conference designation is explicit on the all-school calendar.,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
